libpython3-stdlib:armhf 3.7.3-1
libpython3.7:armhf 3.7.3-2+deb10u1
libpython3.7-minimal:armhf 3.7.3-2+deb10u1
libpython3.7-stdlib:armhf 3.7.3-2+deb10u1
libraspberrypi-bin 1.20200212-1
libraspberrypi-dev 1.20200212-1
libraspberrypi-doc 1.20200212-1
libraspberrypi0 1.20200212-1
libreadline6:armhf 6.3-9
libreadline7:armhf 7.0-5
librsvg2-2:armhf 2.44.10-2.1+rpi1
librsvg2-common:armhf 2.44.10-2.1+rpi1
librtmp1:armhf 2.4+20151223.gitfa8646d.1-2
libruby2.5:armhf 2.5.5-3+deb10u1
libsamplerate0:armhf 0.1.9-2
libsasl2-2:armhf 2.1.27+dfsg-1+deb10u1
libsasl2-modules-db:armhf 2.1.27+dfsg-1+deb10u1
libseccomp2:armhf 2.3.3-4
libselinux1:armhf 2.8-1+b1
libsemanage-common 2.8-2
libsemanage1:armhf 2.8-2
libsepol1:armhf 2.8-1
libsigc++-1.2-5c2 1.2.7-2+b1
libsigc++-2.0-0v5:armhf 2.10.1-2
libsigsegv2:armhf 2.12-2
libslang2:armhf 2.3.2-2
libsm6:armhf 2:1.2.3-1
libsmartcols1:armhf 2.33.1-0.1
libsqlite3-0:armhf 3.27.2-3
libss2:armhf 1.44.5-1+deb10u3
libssh2-1:armhf 1.8.0-2.1
libssl-dev:armhf 1.1.1d-0+deb10u2+rpt1
libssl1.1:armhf 1.1.1d-0+deb10u2+rpt1
libstdc++-8-dev:armhf 8.3.0-6+rpi1
libstdc++6:armhf 8.3.0-6+rpi1
libsub-name-perl 0.21-1+b2
libsystemd0:armhf 241-7~deb10u3+rpi1
libtalloc2:armhf 2.1.14-2
libtasn1-6:armhf 4.13-3
libtcl8.6:armhf 8.6.9+dfsg-2
libtext-charwidth-perl 0.04-7.1+b1
libtext-iconv-perl 1.7-5+b10
libtext-wrapi18n-perl 0.06-7.1
libthai-data 0.1.28-2
libthai0:armhf 0.1.28-2
libtiff5:armhf 4.1.0+git191117-2~deb10u1
libtimedate-perl 2.3000-2+deb10u1
libtinfo5:armhf 6.1+20181013-2+deb10u2
libtinfo6:armhf 6.1+20181013-2+deb10u2
libtirpc-common 1.1.4-0.4
libtirpc3:armhf 1.1.4-0.4
libubsan1:armhf 8.3.0-6+rpi1
libuchardet0:armhf 0.0.6-3
libudev0:armhf 175-7.2
libudev1:armhf 241-7~deb10u3+rpi1
libunistring2:armhf 0.9.10-1
liburi-perl 1.76-1
libusb-0.1-4:armhf 2:0.1.12-32
libusb-1.0-0:armhf 2:1.0.22-2
libutempter0:armhf 1.1.6-3
libuuid1:armhf 2.33.1-0.1
libv4l-0:armhf 1.16.3-3
libv4l2rds0:armhf 1.16.3-3
libv4lconvert0:armhf 1.16.3-3
libwbclient0:armhf 2:4.9.5+dfsg-5+deb10u1+rpi1
libwebp6:armhf 0.6.1-2
libwrap0:armhf 7.6.q-28
libx11-6:armhf 2:1.6.7-1
libx11-data 2:1.6.7-1
libxapian30:armhf 1.4.11-1
libxau6:armhf 1:1.0.8-1+b2
libxcb-render0:armhf 1.13.1-2
libxcb-shm0:armhf 1.13.1-2
libxcb1:armhf 1.13.1-2
libxcomposite1:armhf 1:0.4.4-2
libxcursor1:armhf 1:1.1.15-2
libxdamage1:armhf 1:1.1.4-3+b3
libxdmcp6:armhf 1:1.1.2-3
libxext6:armhf 2:1.3.3-1+b2
libxfixes3:armhf 1:5.0.3-1
libxi6:armhf 2:1.7.9-1
libxinerama1:armhf 2:1.1.4-2
libxml2:armhf 2.9.4+dfsg1-7+b3
libxmuu1:armhf 2:1.1.2-2+b3
libxrandr2:armhf 2:1.5.1-1
libxrender1:armhf 1:0.9.10-1
libxt6:armhf 1:1.1.5-1+b3
libxtables12:armhf 1.8.2-4
libyaml-0-2:armhf 0.2.1-1
libzstd1:armhf 1.3.8+dfsg-3+rpi1
linux-base 4.6
linux-libc-dev:armhf 4.18.20-2+rpi1
locales 2.28-10+rpi1
login 1:4.5-1.1
logrotate 3.14.0-4
lsb-base 10.2019051400+rpi1
lsb-release 10.2019051400+rpi1
lua5.1 5.1.5-8.1+b1
luajit 2.1.0~beta3+dfsg-5.1
m4 1.4.18-2
make 4.2.1-1.2
man-db 2.8.5-2
manpages 4.16-2
manpages-dev 4.16-2
